ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,14213c01_12_edna_1,14213c01_12_edna_2,14213c01_12_edna_3,22013c01_12_edna_1,22013c01_12_edna_2,22013c01_12_edna_3,CN13Dc01_12_edna_1,CN13Dc01_12_edna_2,CN13Dc01_12_edna_3,05114c01_12_edna_1,05114c01_12_edna_2,05114c01_12_edna_3,14714c01_12_edna_1,14714c01_12_edna_2,14714c01_12_edna_3,19114c01_12_edna_1,19114c01_12_edna_2,19114c01_12_edna_3,30214c01_12_edna_1,30214c01_12_edna_2,30214c01_12_edna_3,32414c01_12_edna_1,32414c01_12_edna_2,32414c01_12_edna_3,12015c01_12_edna_1,12015c01_12_edna_2,12015c01_12_edna_3,18815c01_12_edna_1,18815c01_12_edna_2,18815c01_12_edna_3,EB_20161116,pcrblank_1,28215c01_12_edna_1,28215c01_12_edna_2,28215c01_12_edna_3,34915c01_12_edna_1,34915c01_12_edna_2,34915c01_12_edna_3,11216c01_12_edna_1,11216c01_12_edna_2,11216c01_12_edna_3,24416c01_12_edna_1,24416c01_12_2,24416c01_12_edna_3,CANON16c14_12_edna_1,CANON16c14_12_edna_2,CANON16c14_12_edna_3,34916c01_12_edna_1,34916c01_12_edna_2,34916c01_12_edna_3,JD10706C1_0m_1,JD10706C1_0m_2,JD10706C1_0m_3,JD15806C1_0m_1,JD15806C1_0m_2,JD15806C1_0m_3,JD27006C1_0m_1,JD27006C1_0m_2,JD27006C1_0m_3,JD33306C1_0m_1,JD33306C1_0m_2,JD33306C1_0m_3,pcrblank2,EB_20161121,EB_20161228,EB_20170117,pcrblank3,CB_CANON160925_1,CB_CANON160925_2,CB_CANON160925_3,ArtComm2
ASV_1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,unassigned,9,4,8,72,71,187,364,132,288,14825,16094,22459,2476,3146,4017,16588,9547,12579,62205,68668,83112,42721,52093,68613,9517,7779,9846,9320,12517,8237,90,0,9510,9106,7662,10438,29082,28290,19312,16491,21670,15699,9849,11175,14347,13721,15408,1022,0,697,43,46,37,19,19,20,712,533,617,867,815,956,0,0,1312,1,0,197,3,210,44
ASV_2,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,unassigned,unassigned,4,7,19,10,5,6,6,8,7,4,20,15,33937,42226,53737,88085,52521,69049,24,26,23,22,26,32,1054,856,1079,2458,3222,2340,0,0,4559,4391,3742,11,27,26,8583,7223,8942,12,8,12,47,47,51,16,0,7,216,243,235,1,5,6,3110,2091,2410,302,263,358,0,0,535,0,0,118,162,139,5976
ASV_3,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,2,3,7,7,12,10,10,6,8,6,8,10,12,12,18,18,11,10,6,10,10,49,51,86,9,10,9,14,16,13,75,0,21,27,23,16,36,31,9,11,10,1550,953,1033,131586,126507,129805,67,0,60,4,5,2,43,34,62,28,28,16,809,656,795,0,0,0,35,0,1,0,1,8
ASV_4,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Cochlodinium,unassigned,2,3,6,418,540,882,14898,5368,11223,5,4,8,7,6,12,25,8,20,11869,12852,15303,3410,3689,5358,6,8,5,7,12,9,0,1,951,945,790,4,10,7,12,11,12,99,53,46,965,928,1159,2091,0,1365,1,2,4,6,4,9,70,40,42,72666,64965,82065,0,0,0,836,0,1,0,0,7
ASV_5,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned,148,147,139,362,368,719,646,196,460,256,213,378,302,314,422,523,310,399,1099,1235,1467,2660,2900,3875,424,384,372,1337,1773,1250,1,0,2073,1977,1721,449,1441,1513,649,513,751,4365,2813,3109,3469,3506,3601,107997,0,70793,18,21,18,61,63,72,61,36,50,13666,12505,14688,0,0,36,401,0,0,4,11,7
ASV_6,Eukaryota,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Ensiculifera,Ensiculifera imariensis,12433,15214,11716,4685,5349,9253,5293,1531,3665,6882,6911,10536,3337,4359,5206,6763,3712,4809,157,198,198,1384,1718,2104,11020,9095,10539,4832,6539,4622,0,0,2856,2531,2352,157,547,561,6813,5265,7208,6807,4281,4731,1118,1034,1055,591,0,360,60,60,61,113,83,144,17,9,23,1353,1259,1467,0,0,535,0,0,126,65,11,7
ASV_7,Eukaryota,unknown,Dinophyceae,unknown,unknown,unknown,Dinophyceae sp. CCMP1878,21,38,16,3098,3419,5937,1511,472,981,1113,1134,1960,8097,9534,12026,3715,2097,2709,94,97,130,1412,1607,1712,168,163,157,7681,10242,7281,1,0,2649,2613,2221,518,1627,1637,25689,19652,27541,4585,3004,3243,1803,1787,1871,1821,0,1101,48,63,57,26,31,63,37,37,51,1377,1218,1490,0,0,1479,1,0,151,221,330,4
ASV_8,Eukaryota,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Ensiculifera,Ensiculifera imariensis,3,2,0,33,42,89,8,2,7,4,2,2,15151,18088,23463,1943,1014,1405,6,6,9,9,4,18,22393,18683,22011,2081,3092,2310,0,0,9,5,3,3,9,8,3715,2853,4084,1795,1187,1266,110,85,105,9,0,3,1,5,3,32,24,52,2,0,2,8,6,4,0,0,342,0,0,0,0,134,4
ASV_9,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,1,1,0,1450,1613,2666,4,1,1,3,0,2,1093,1223,1772,960,574,747,8,9,4,8246,9602,13322,717,513,689,273,396,278,0,0,575,543,570,2956,9174,8960,708,618,744,4494,3079,3296,5511,5311,6240,702,0,483,14,6,12,15,11,20,8,14,14,111,116,109,0,0,36,0,0,76,0,0,1
ASV_10,Eukaryota,Chlorophyta,unassigned,unassigned,unassigned,unassigned,unassigned,8,13,7,317,376,609,13,9,10,2254,2235,2656,2,3,3,24,21,21,273,287,324,785,759,1112,3,3,2,170,258,168,0,1,344,452,314,1549,4246,4267,20,10,21,654,382,544,151,136,172,106,0,72,12158,14425,12629,49,45,84,13824,8799,10875,50,24,44,0,0,2,1,0,0,0,0,1
ASV_11,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,unassigned,2,2,2,3,7,3,6,1,8,3,4,5,2,3,1,6,5,3,2293,2339,2653,1827,2115,2769,21,16,11,2,8,6,0,0,29145,27254,23812,1,4,4,3,4,5,22,17,12,180,176,181,5,0,4,3,0,1,0,1,3,3,2,3,1,4,6,0,0,0,0,0,0,0,236,4
ASV_12,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia fraudulenta,18155,21230,14699,7173,8626,15277,43,17,38,22,16,26,45,47,122,546,302,406,4,7,7,33,12,68,455,277,382,3,2,3,0,0,6,7,6,1,1,2,5,4,7,45,25,48,3,4,3,7,0,5,0,0,4,18,7,32,0,9,10,8,11,4,0,0,0,0,0,0,0,0,1
ASV_13,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium rubrum,3,2,4,3,10,8,39,12,24,26,21,32,4657,5794,7169,4522,2525,3479,6,5,5,2520,2842,3618,1292,983,1151,4156,5810,4078,0,0,329,273,293,2,8,7,5960,4512,6361,1495,906,1050,392,392,436,100,0,56,3,0,1,64,85,144,0,1,0,14,15,15,0,0,397,0,0,0,173,128,1
ASV_14,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote,296,320,337,212,224,319,2,0,5,47,50,39,185,255,318,1489,750,1171,757,801,685,22,40,60,4106,3181,3907,7700,11430,9373,0,0,471,410,364,1346,3518,4151,2748,2573,2888,88,61,67,1708,1595,1563,9,0,3,155,179,210,218,189,304,912,759,762,331,242,385,0,1,199,28,0,159,169,0,4
ASV_15,Eukaryota,unknown,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum triestinum,31,24,20,69,103,138,23043,8944,18144,11,6,6,3,1,2,404,246,295,95,75,111,121,98,202,128,98,143,1853,2510,1860,0,0,13,5,2,2,6,6,7,3,7,1747,1109,1143,39,36,30,591,0,388,3,3,3,14,4,9,1,1,3,79,71,76,0,0,0,11,0,0,0,0,2
ASV_16,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,unassigned,unassigned,unassigned,0,0,0,4663,5273,7938,101,22,101,1,3,7,1,1,1,4487,2778,3947,328,290,373,2944,3027,4254,219,249,209,1,3,3,1,0,2267,1790,2078,88,270,269,458,349,394,642,474,434,628,429,555,188,0,134,3,0,0,0,0,0,35,31,38,1493,1543,1746,0,0,19,0,0,0,0,0,0
ASV_17,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,unassigned,unassigned,1,0,0,4,6,2,4,1,1,6,1,12,10096,12157,18718,1,0,1,2,1,3,1,0,2,2,0,2,1,3,0,48,0,2,2,0,1,2,4,1,0,1,4,2,5,2,0,0,5,0,0,2,1,0,1,3,1,1,0,0,1,2,2,0,0,0,24,0,0,0,0,15156
ASV_18,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium crassipes,0,0,0,9661,11269,18909,7,3,4,0,0,4,401,437,642,5,3,0,1515,1656,1743,648,626,923,197,137,166,67,100,61,0,0,787,676,706,139,435,413,2,1,2,645,416,454,17,25,22,24,0,18,0,2,0,0,1,1,2,2,0,178,141,155,0,0,2,0,0,0,0,124,3
ASV_19,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_,5602,6608,6286,251,264,423,14865,4258,15017,2,0,1,20,13,24,0,2,3,0,1,1,0,1,1,1,0,1,1,1,0,0,0,2,0,1,1,3,1,0,0,1,2,0,0,2,2,1,0,0,3,1,1,0,11,17,24,0,1,2,0,3,0,0,0,0,0,0,0,0,0,1
ASV_20,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia australis,22,16,21,2,1,4,1,0,2,5,14,13,183,170,281,630,330,441,3,0,0,24,27,47,5591,4310,5700,1603,2206,1389,0,0,30,28,26,0,2,1,21,14,31,13112,7403,8952,44,43,21,2,0,2,0,5,2,1,3,2,0,2,1,2,1,0,0,0,0,0,0,0,0,0,1
ASV_21,Eukaryota,unknown,Dinophyceae,Peridiniales,unassigned,unassigned,unassigned,122,101,108,159,182,290,3392,1129,2599,268,281,542,240,377,443,373,211,274,262,290,305,614,665,955,611,448,558,1081,1407,1047,0,0,2014,1816,1492,134,354,370,706,574,752,967,682,696,2872,2732,2816,327,0,181,8,11,9,4,6,10,49,29,49,1608,1510,1795,0,0,40,13,0,0,0,0,0
ASV_22,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned,1,1,3,917,1044,1700,18,8,17,1,4,0,373,365,485,4006,2001,2790,1,4,0,3,4,3,1193,932,1208,2092,3037,2033,0,0,16,24,23,3,3,0,5856,4604,6427,317,204,223,4,3,3,8,0,5,0,2,0,13,9,23,6,3,3,4,4,3,0,0,379,0,0,0,0,117,0
ASV_23,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,12,29,32,417,451,850,83,32,68,230,220,365,25,20,34,780,429,575,83,109,97,720,819,870,38,34,45,6851,9293,6365,0,0,1051,957,839,123,474,448,676,536,751,834,555,622,188,215,201,510,0,315,1,1,1,3,0,2,4,5,5,1085,930,1131,0,0,43,1,0,0,0,0,2
ASV_24,Eukaryota,unknown,unknown,unknown,unknown,unknown,phototrophic eukaryote,0,1,1,7,24,15,1454,411,1029,9,9,9,1,1,1,72,42,57,5169,5900,6536,2516,2908,3691,53,42,35,30,21,15,0,0,27,33,26,13,59,59,0,0,3,2,0,0,2,1,2,74,0,47,0,0,2,0,2,2,0,2,0,3530,2949,3873,0,0,0,0,0,0,0,0,1
ASV_25,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unassigned,273,337,252,399,509,773,241,62,184,5529,6168,8545,175,233,378,96,50,61,159,173,209,119,142,139,711,582,692,625,893,528,0,0,510,514,425,38,98,100,1019,853,1103,916,493,598,128,124,96,66,0,25,45,46,33,12,16,44,3,0,0,287,249,301,0,0,55,0,0,0,0,0,0
ASV_26,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,45,45,28,315,371,682,22,2,9,150,203,196,1,1,2,40,25,37,463,535,539,1257,1662,2101,2,0,1,83,130,70,0,1,753,897,655,212,686,672,10,25,34,1155,702,807,52,49,88,171,0,84,2494,2833,2693,1259,1036,2130,2514,1523,1931,85,71,91,0,0,0,0,0,0,0,0,1
ASV_27,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,unassigned,0,11,0,0,0,0,3549,1631,3157,0,0,0,107,158,156,618,391,530,1,3,4,1,2,4,93,82,86,737,1227,920,0,0,2,2,1,1,1,0,2323,1690,1957,2214,1676,1685,580,482,536,2859,0,1856,1,3,0,32,31,36,3,8,12,286,315,339,0,0,190,0,0,0,0,219,2
ASV_28,Eukaryota,unknown,Dinophyceae,unknown,unknown,Spiniferites,Spiniferites ramosus,7469,9164,6578,0,0,2,0,1,1,0,3,1,171,222,297,344,165,230,3,1,3,33,41,73,83,69,73,360,579,363,0,0,13,12,5,1,0,3,1569,1260,1635,523,298,384,118,109,94,6,0,13,0,0,0,3,2,4,1,1,0,0,0,0,0,0,120,0,0,0,0,0,1
ASV_29,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,unassigned,0,0,0,0,1,0,3947,1635,3344,1,1,2,118,142,168,514,331,509,0,1,0,0,1,4,101,84,108,772,1085,877,0,0,2,1,0,0,1,1,1785,1594,2070,2300,1534,1654,506,520,584,2808,0,1843,0,2,0,15,26,37,4,3,6,362,272,368,0,0,191,0,0,0,0,0,1
ASV_30,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,195,235,222,966,914,1744,49,7,50,74,72,151,1,3,0,28,10,19,361,340,441,41,54,76,52,60,51,362,513,394,0,0,519,451,434,24,89,59,249,189,243,322,203,181,421,342,438,58,0,34,0,1,0,6187,4617,9166,2,0,0,27,29,49,0,0,7,0,0,0,0,0,1
ASV_31,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Warnowiaceae,Proterythropsis,Proterythropsis sp. BSL-2009a,0,1,0,1939,2209,3735,1,0,1,19,28,31,1,0,0,902,482,707,1,1,4,13,6,13,51,33,32,1333,1785,1185,63,0,602,492,481,73,228,221,1860,1356,1740,1556,1071,1179,1096,1107,1215,15,0,16,0,2,0,4,0,1,1,0,0,799,763,877,0,0,107,77,0,0,0,0,0
ASV_32,Eukaryota,unknown,Haptophyta,Phaeocystales,Phaeocystaceae,Phaeocystis,unassigned,41,53,19,1272,1588,2696,48,8,17,75,74,138,53,80,89,301,118,196,285,309,319,109,121,145,3773,2999,3401,1162,1439,959,0,0,105,93,82,35,122,118,1442,1416,1935,780,398,511,113,105,142,79,0,63,118,202,180,274,226,407,110,73,83,52,65,56,0,0,71,25,0,0,0,0,3
ASV_33,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,unassigned,0,0,0,5,4,10,21,0,10,668,594,1076,64,55,109,441,338,346,2197,2027,2796,1456,1818,2239,214,197,247,229,334,245,3,0,230,202,172,5689,764,658,326,300,447,368,310,223,359,353,363,20,0,21,0,0,1,0,0,1,24,11,19,13,17,22,0,0,50,0,0,11,0,13,1
ASV_34,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,10,1,2,39,63,128,3,1,3,123,153,234,2,1,1,16,5,9,369,421,556,1603,2020,3068,0,0,1,18,6,6,0,0,435,528,365,203,494,591,8,4,7,431,239,284,47,31,38,203,0,122,2341,2446,2582,85,70,172,3009,1909,2495,99,103,142,0,0,0,0,0,0,0,0,1
ASV_35,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,s_,0,1,0,4673,5431,8975,2,0,1,0,0,0,172,114,319,1,3,0,585,747,791,269,215,469,72,72,65,47,37,41,0,0,411,460,384,38,219,198,1,1,1,361,209,227,4,12,11,17,0,7,1,0,1,1,0,0,0,1,0,52,69,95,0,0,0,0,0,0,0,0,0
ASV_36,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned,174,185,176,358,368,647,47,23,39,542,618,888,42,41,70,165,90,103,17,40,39,284,361,373,175,136,189,274,377,272,0,0,2174,2005,1721,3,10,5,1648,1288,1832,2184,1354,1583,182,156,204,592,0,408,0,0,2,1,1,8,6,4,4,266,233,272,0,0,151,22,0,0,0,0,1
ASV_37,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_,16,32,20,14,12,25,1156,500,1436,1600,1655,2499,860,684,1527,43,16,23,987,1046,1219,24,11,26,244,188,287,185,279,221,0,0,733,616,615,98,379,361,255,166,276,609,420,439,417,357,473,6,0,14,2,5,7,2,5,2,42,29,30,62,71,92,0,0,15,0,0,0,0,0,2
ASV_38,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,2,1,0,0,1,1,0,1,0,0,0,0,0,0,2,0,2,1,0,4,3,0,3,1,0,0,0,1,0,0,0,1,1,6869,5798,10654,0,1,2,3,1,1,0,0,0,0,0,0,0,0,1
ASV_39,Eukaryota,Cercozoa,unknown,Thaumatomonadida,Thaumatomastigidae,Protaspis,unassigned,22,49,40,1,0,2,2,0,0,1,1,1,5883,7159,9666,52,22,32,0,4,0,1,0,2,75,65,85,1,0,0,0,0,0,1,0,1,1,1,2,1,2,10,5,7,0,2,2,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_40,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,unassigned,14,17,1,498,471,829,14,0,5,66,125,125,0,1,1,123,31,70,219,246,276,196,272,317,6,2,1,210,352,224,0,0,458,491,351,21,38,59,26,27,21,1338,751,903,18,10,29,81,0,82,535,660,546,872,694,1467,3516,2167,2836,18,9,39,0,0,2,0,0,0,0,0,1
ASV_41,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Temoridae,Temora,unassigned,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,5981,6968,9173,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1
ASV_42,Eukaryota,unknown,Dinophyceae,unknown,unknown,unknown,Dinophyceae sp. UDMS0803,22,21,6,88,102,165,520,128,256,42,55,101,0,3,1,256,119,154,130,109,120,856,1042,1336,75,43,49,635,952,694,121,0,36,39,25,84,265,272,478,425,535,2237,1469,1560,313,297,278,840,0,502,268,281,234,150,93,214,144,115,129,555,643,711,0,0,17,25,0,0,102,0,0
ASV_43,Eukaryota,Ciliophora,Spirotrichea,unassigned,unassigned,unassigned,unassigned,17,20,6,304,315,566,52,11,33,71,97,121,24,27,51,505,242,371,215,290,312,1021,798,1400,132,89,65,940,816,749,0,0,718,564,599,124,420,397,264,265,275,2071,1436,1244,70,52,77,188,0,197,159,222,152,37,34,56,713,539,463,88,118,109,0,0,17,0,0,0,0,0,0
ASV_44,Eukaryota,Arthropoda,Hexanauplia,Calanoida,unassigned,unassigned,unassigned,0,0,0,1,0,0,0,1,2,0,1,0,0,4,3,0,0,0,0,0,1,3,1,0,7454,6188,7644,3,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1
ASV_45,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Euterpinidae,Euterpina,Euterpina acutifrons,0,0,0,0,1,0,129,29,114,1,0,0,656,687,908,2,1,4,1168,1429,1646,2206,2260,3321,722,598,750,24,59,41,0,0,1219,1111,1044,66,118,135,77,69,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,5,0,0,0,0,0,2
ASV_46,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,3,4,9,237,325,465,25,3,19,235,324,365,3,1,2,216,52,107,665,718,718,3,18,10,1,2,5,10,13,9,0,0,21,45,41,25,90,126,5,1,0,23,8,13,236,229,220,4,0,2,26,18,19,2546,2193,3953,280,148,179,1620,1404,1887,0,0,0,7,0,0,0,0,1
ASV_47,Eukaryota,unknown,unknown,unknown,unknown,g_,s_,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,2,0,0,0,2,3,2,3,2,0,0,3,0,0,0,0,0,0,0,6,0,0,0,1,1,0,0,1,0,1,0,0,0,2267,2575,1985,3534,3063,5154,107,68,60,40,54,50,0,0,0,0,0,0,0,0,0
ASV_48,Eukaryota,unknown,unknown,unknown,unknown,g_,s_,0,0,2,0,2,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,2,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,2,1,1,0,0,3,1,0,0,5646,4884,8348,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
ASV_49,Eukaryota,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Scrippsiella,unassigned,159,243,247,92,40,98,4,0,1,5012,4259,7145,1,3,5,49,26,24,0,2,1,4,4,6,3,19,7,31,37,20,0,0,17,7,13,0,0,2,81,45,70,81,70,79,1,3,2,141,0,108,3,0,0,6,1,10,0,0,0,16,15,44,0,0,6,0,0,0,0,0,0
ASV_50,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,0,0,2,62,86,160,7824,3365,4493,3,0,1,10,16,17,26,36,39,0,0,0,1,2,1,36,37,47,274,406,204,0,0,30,21,23,1,1,0,28,26,32,97,33,39,143,179,206,4,0,7,0,2,1,2,1,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
ASV_51,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned,13,13,3,277,285,603,49,16,33,0,0,0,417,477,684,496,273,328,5,1,5,292,393,571,958,793,935,1748,2450,1498,0,0,625,686,494,55,148,148,487,484,602,200,101,116,1,6,1,10,0,1,1,1,1,5,9,15,0,2,0,28,27,35,0,0,39,0,0,0,0,0,1
ASV_52,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Polykrikos,Polykrikos kofoidii,0,1,0,124,119,211,156,41,140,0,0,0,70,85,98,76,32,62,13,16,9,0,0,0,132,70,133,2753,3645,2692,0,0,32,28,45,0,0,1,264,241,269,64,46,39,1889,1750,1857,4,0,4,0,0,0,7,10,19,20,14,22,36,39,45,0,0,13,0,0,0,0,0,1
ASV_53,Eukaryota,Ciliophora,Prostomatea,Prorodontida,Plagiocampidae,g_,s_,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,2,0,2,1,0,0,0,1,0,0,2983,4134,3310,0,0,0,1,1,0,1,1,229,226,163,1749,1114,1103,0,3,5,0,0,0,0,0,0,15,21,41,397,271,342,0,1,1,0,0,17,0,0,0,0,0,1
ASV_54,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,0,2,1,54,63,76,11,0,9,0,0,1,55,67,90,58,40,32,596,650,714,1876,2112,2683,467,392,478,22,25,18,0,0,577,546,498,166,456,546,99,64,70,749,507,544,154,91,169,34,0,14,0,0,0,0,0,1,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0
ASV_55,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Lepidodinium,Lepidodinium viride,0,0,0,92,92,193,1,0,1,21,25,36,0,0,2,68,38,50,418,482,511,736,670,903,5,2,2,553,833,569,0,0,673,656,581,450,1367,1260,111,93,119,1087,722,820,414,509,518,20,0,19,18,19,20,1,0,3,4,1,1,14,6,12,0,0,8,0,0,0,0,0,1
ASV_56,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,3,0,0,2,0,1,0,0,0,903,931,800,654,1843,1944,0,0,0,3331,2006,2257,4,2,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ASV_57,Eukaryota,Arthropoda,Malacostraca,Decapoda,unassigned,unassigned,unassigned,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14670
ASV_58,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,Rhizosolenia setigera,17,76,30,4,7,33,7,0,5,217,284,359,16,13,25,2,0,7,0,2,1,0,8,5,3,7,1,0,4,1,0,0,20,15,18,2,2,3,3676,3304,4818,363,217,221,47,46,68,0,0,1,27,28,21,6,10,22,4,4,6,53,68,80,0,0,173,0,0,0,0,0,1
ASV_59,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,unassigned,12,35,17,11,4,9,3247,1045,2482,31,53,51,31,35,65,19,12,22,82,75,55,23,31,66,197,185,209,150,257,125,0,0,68,40,51,7,7,8,28,27,15,323,224,267,86,91,103,127,0,77,2,0,0,2,4,11,0,0,0,1362,1285,1430,0,0,0,61,0,0,0,0,0
ASV_60,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium rubrum,1,1,0,0,0,0,1031,288,721,23,21,15,705,925,1145,1,0,1,32,34,44,153,164,173,2,0,1,0,2,0,0,0,78,54,54,2,6,10,0,0,0,42,25,16,2698,2679,2730,27,0,16,1,0,0,4,2,5,0,0,0,125,82,94,0,0,0,0,0,0,0,0,0
ASV_61,Eukaryota,unknown,Raphidophyceae,Chattonellales,Chattonellaceae,Fibrocapsa,Fibrocapsa japonica,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,22,53,28,63,52,41,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,3,2,3,57,0,55,0,0,0,0,0,0,2,0,0,4248,4079,4892,0,0,0,192,0,0,0,0,1
ASV_62,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,unassigned,6,13,8,0,1,0,1103,471,895,0,0,0,31,26,53,144,115,126,139,205,224,441,490,619,220,195,208,796,1112,872,0,0,2,0,0,37,42,45,137,129,180,476,320,369,740,677,653,693,0,407,1,0,1,7,6,6,9,0,8,77,56,88,0,0,6,0,0,1,0,0,1
ASV_63,Eukaryota,unknown,Haptophyta,Prymnesiales,unassigned,unassigned,unassigned,14,7,7,7,17,26,9,4,1,38,79,74,1,1,2,27,11,18,285,275,344,236,218,393,10,10,16,154,239,126,0,0,1119,1193,880,15,56,51,276,281,399,1937,1047,1237,410,367,400,114,0,68,26,19,23,159,164,317,87,59,74,27,44,29,0,0,14,0,0,0,0,0,0
ASV_64,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Adenoides,Adenoides eludens,29,6,6,252,231,402,13,8,10,116,140,152,24,17,34,129,76,86,79,90,65,310,350,407,59,61,75,620,892,549,0,0,51,48,52,189,403,466,663,401,560,717,393,458,52,62,84,500,0,283,300,347,324,8,3,12,175,92,105,385,353,493,0,0,48,59,0,0,0,0,0
